sample_id,cell_type
A1P2MEP-G11_a1p2,MEP
A1P2MEP-G12_a1p2,MEP
A1P2MEP-G2_a1p2,MEP
A1P2MEP-G3_a1p2,MEP
A1P2MEP-G4_a1p2,MEP
A1P2MEP-G5_a1p2,MEP
A1P2MEP-G6_a1p2,MEP
A1P2MEP-G7_a1p2,MEP
A1P2MEP-G8_a1p2,MEP
A1P2MEP-G9_a1p2,MEP
A1P2MEP-H1_a1p2,MEP
A1P2MEP-H10_a1p2,MEP
A1P2MEP-H11_a1p2,MEP
A1P2MEP-H12_a1p2,MEP
A1P2MEP-H2_a1p2,MEP
A1P2MEP-H3_a1p2,MEP
A1P2MEP-H4_a1p2,MEP
A1P2MEP-H5_a1p2,MEP
A1P2MEP-H6_a1p2,MEP
A1P2MEP-H7_a1p2,MEP
A1P2MEP-H8_a1p2,MEP
A1P2MEP-H9_a1p2,MEP
A2P2MEP-A10_a2p2,MEP
A2P2MEP-A11_a2p2,MEP
A2P2MEP-A12_a2p2,MEP
A2P2MEP-A3_a2p2,MEP
A2P2MEP-A4_a2p2,MEP
A2P2MEP-A5_a2p2,MEP
A2P2MEP-A6_a2p2,MEP
A2P2MEP-A7_a2p2,MEP
A2P2MEP-A8_a2p2,MEP
A2P2MEP-A9_a2p2,MEP
A2P2MEP-B1_a2p2,MEP
A2P2MEP-B10_a2p2,MEP
A2P2MEP-B11_a2p2,MEP
A2P2MEP-B12_a2p2,MEP
A2P2MEP-B2_a2p2,MEP
A2P2MEP-B3_a2p2,MEP
A2P2MEP-B4_a2p2,MEP
A2P2MEP-B5_a2p2,MEP
A2P2MEP-B6_a2p2,MEP
A2P2MEP-B7_a2p2,MEP
A2P2MEP-B8_a2p2,MEP
A2P2MEP-B9_a2p2,MEP
A2P2MEP-C1_a2p2,MEP
A2P2MEP-C10_a2p2,MEP
A2P2MEP-C11_a2p2,MEP
A2P2MEP-C12_a2p2,MEP
A2P2MEP-C2_a2p2,MEP
A2P2MEP-C3_a2p2,MEP
A2P2MEP-C4_a2p2,MEP
A2P2MEP-C5_a2p2,MEP
A2P2MEP-C6_a2p2,MEP
A2P2MEP-C7_a2p2,MEP
A2P2MEP-C8_a2p2,MEP
A2P2MEP-C9_a2p2,MEP
A2P2MEP-D1_a2p2,MEP
A2P2MEP-D10_a2p2,MEP
A2P2MEP-D11_a2p2,MEP
A2P2MEP-D12_a2p2,MEP
A2P2MEP-D2_a2p2,MEP
A2P2MEP-D3_a2p2,MEP
A2P2MEP-D4_a2p2,MEP
A2P2MEP-D5_a2p2,MEP
A2P2MEP-D6_a2p2,MEP
A2P2MEP-D7_a2p2,MEP
A2P2MEP-D8_a2p2,MEP
A2P2MEP-D9_a2p2,MEP
A2P2MEP-E1_a2p2,MEP
A2P2MEP-E10_a2p2,MEP
A2P2MEP-E11_a2p2,MEP
A2P2MEP-E12_a2p2,MEP
A2P2MEP-E2_a2p2,MEP
A2P2MEP-E3_a2p2,MEP
A2P2MEP-E4_a2p2,MEP
A2P2MEP-E5_a2p2,MEP
A2P2MEP-E6_a2p2,MEP
A2P2MEP-E7_a2p2,MEP
A2P2MEP-E8_a2p2,MEP
A2P2MEP-E9_a2p2,MEP
A2P2MEP-F1_a2p2,MEP
A2P2MEP-F10_a2p2,MEP
A2P2MEP-F11_a2p2,MEP
A2P2MEP-F12_a2p2,MEP
A2P2MEP-F2_a2p2,MEP
A2P2MEP-F3_a2p2,MEP
A2P2MEP-F4_a2p2,MEP
A2P2MEP-F5_a2p2,MEP
A2P2MEP-F6_a2p2,MEP
A2P2MEP-F7_a2p2,MEP
A2P2MEP-F8_a2p2,MEP
A2P2MEP-F9_a2p2,MEP
A2P2MEP-G1_a2p2,MEP
A2P2MEP-G10_a2p2,MEP
A2P2MEP-G11_a2p2,MEP
A2P2MEP-G12_a2p2,MEP
A2P2MEP-G2_a2p2,MEP
A2P2MEP-G3_a2p2,MEP
A2P2MEP-G4_a2p2,MEP
A2P2MEP-G5_a2p2,MEP
A2P2MEP-G6_a2p2,MEP
A2P2MEP-G7_a2p2,MEP
A2P2MEP-G8_a2p2,MEP
A2P2MEP-G9_a2p2,MEP
A2P2MEP-H1_a2p2,MEP
A2P2MEP-H10_a2p2,MEP
A2P2MEP-H11_a2p2,MEP
A2P2MEP-H12_a2p2,MEP
A2P2MEP-H2_a2p2,MEP
A2P2MEP-H3_a2p2,MEP
A2P2MEP-H4_a2p2,MEP
A2P2MEP-H5_a2p2,MEP
A2P2MEP-H6_a2p2,MEP
A2P2MEP-H7_a2p2,MEP
A2P2MEP-H8_a2p2,MEP
A2P2MEP-H9_a2p2,MEP
A2P1MEP-D12_a2p3,MEP
A2P1MEP-E12_a2p3,MEP
A2P2MEP-A1_a2p3,MEP
A2P2MEP-A2_a2p3,MEP
P2-,MEP
A3P2MEP-A11_a3p2,MEP
A3P2MEP-A12_a3p2,MEP
