"Gene_1","Gene_2","MI"
"MYB","TMOD1",0.28833647609259394
"MYB","VWF",0.2033303287913677
"NFIB","SOCS3",0.047703940492167085
"NFIB","TGFB1",0.2543448773920245
"NFIB","TGFB2",0.010393807692500756
"NFIB","TMOD1",0.08425123095577369
"NFIB","VWF",0.3583530839563931
"SOCS3","TGFB1",0.11175359351851455
"SOCS3","TGFB2",0.0006655058254884105
"SOCS3","TMOD1",0.05695578306392379
"SOCS3","VWF",0.07217770407328006
"TGFB1","TGFB2",0.006765138956743133
"TGFB1","TMOD1",0.21752108249102875
"TGFB1","VWF",0.4043734255187159
"TGFB2","TMOD1",0.005352662065399194
"TGFB2","VWF",0.017266958087896134
"TMOD1","VWF",0.12244431062455075
