Gene_1,Gene_2,MI
CD42/GP1BA,CLU,0.324682832279296
CD44,TAL1,0.324292376164744
GABPA,HPRT1,0.323928367956244
CTNNB1,P27KIP1/CDKN1B,0.32356818625334
CTNNB1,HIF1A,0.323263942191074
CNRIP1,TGFB1,0.32325235389918
CD117/KIT,CD34,0.32286538313546
CD105/ENG,CTNNB1,0.322221509895915
LOX,RUNX1,0.321953598758517
ANK1,CD105/ENG,0.321643612574992
CNRIP1,EIF4EBP1,0.321619871606423
ANK1,JAK2,0.321447656973779
ANK1,RUNX1,0.321208645738568
GABPA,MYB,0.320456212159013
CLU,MCL1,0.320275646042104
CD42/GP1BA,GATA1,0.319728423965673
LSD1/KDM1A,MEIS1,0.318477541739127
LSD1/KDM1A,TMEM180/MFSD13A,0.318244937523656
CNRIP1,DDB1,0.318241794875288
JAK2,SRD5A3,0.318218253451589
ANK1,TMOD1,0.317397813112219
RUNX1,TMEM180/MFSD13A,0.317353037606275
LOX,MCL1,0.316833777002228
CD41/ITGA2B,MEIS1,0.316633654800818
SDPR,TGFB1,0.316391171034027
CD110/MPL,GFI1B,0.315836550828114
CD41/ITGA2B,CD9,0.315810784279996
KLF1,TAL1,0.315504178879406
CD34,MYB,0.315179980599256
CD36,TAL1,0.314964521534993
CD110/MPL,EIF4EBP1,0.314557816223573
CD105/ENG,HPRT1,0.314096056957237
CD42/GP1BA,CDK6,0.313903092040408
CD117/KIT,CD42/GP1BA,0.313376800855372
CD42/GP1BA,LOX,0.31216115662432
CD34,CTNNB1,0.312019501338398
CD42/GP1BA,HIF1A,0.311173157645049
SRD5A3,TAL1,0.310489027460668
DDB1,GATA2,0.310036854621193
GABPA,HIF1A,0.308636170092695
CD117/KIT,CD41/ITGA2B,0.308085893759194
CD44,RUNX1,0.307942922731189
ANK1,CD61/ITGB3,0.307644738943143
MCL1,TMEM180/MFSD13A,0.307143879917278
HPRT1,SRD5A3,0.307133805316528
SDPR,TAL1,0.307089396879465
CTNNB1,SDPR,0.306762673699426
MYB,SRD5A3,0.30668464591537
TAL1,TMEM180/MFSD13A,0.306389518948302
CD36,DHRS3,0.305757695640531
HIF1A,HPRT1,0.305395452606924
CD38,MYB,0.304958219431524
CD41/ITGA2B,HIF1A,0.304430206182736
CTNNB1,GATA1,0.304344526033086
CD44,CD71/TFRC,0.303331724378942
GFI1B,HIF1A,0.303003321822621
CD105/ENG,SRD5A3,0.302637273341652
CD110/MPL,TAL1,0.301880784938644
CD41/ITGA2B,CDK6,0.300571000069858
CD117/KIT,GFI1B,0.300300746047173
CLU,GABPA,0.30014693445351
CD9,TGFB1,0.298214892792206
CNRIP1,JAK2,0.298012598349627
DHRS3,TAL1,0.297798052535682
CNRIP1,RUNX1,0.297691238398745
ANK1,MCL1,0.297638840852459
CDK6,GATA1,0.297453144673842
CD71/TFRC,LOX,0.297424667148167
GFI1B,MEIS1,0.297140440836955
GATA1,JAK2,0.296826964808982
EIF4EBP1,GABPA,0.296818705711446
CD34,ETS1,0.296702714408048
P27KIP1/CDKN1B,RUNX1,0.29663916657707
CD110/MPL,CDK6,0.296405437662564
CD41/ITGA2B,MYB,0.29601206201337
CD110/MPL,CTNNB1,0.295614240618834
CD117/KIT,GATA1,0.295186062801285
HPRT1,JAK2,0.294823926099433
CD42/GP1BA,SDPR,0.294664695987691
CDK6,SPI1,0.294267842806861
CD110/MPL,LOX,0.294093275191417
CD117/KIT,TMOD1,0.29343283734706
EIF4EBP1,SPI1,0.293025873900813
CD61/ITGB3,GFI1B,0.293016449945391
CTNNB1,HPRT1,0.29277093974891
CD105/ENG,CDK4,0.292618636450249
EIF4EBP1,MEIS1,0.292467088444846
CD34,DDB1,0.292466584971508
CD71/TFRC,FOG1/ZFPM1,0.292367947118593
RUNX1,SDPR,0.292234186704195
ETS1,HIF1A,0.29223397469421
