"Gene_1","Gene_2","MI"
"GABPA","TGFB1",0.33096616630620945
"CDK4","SRD5A3",0.33063875740153503
"CD41/ITGA2B","JAK2",0.3305646053215542
"ANK1","CDK4",0.3301037425176564
"CD117/KIT","CTNNB1",0.3300386466692868
"CDK4","CDK6",0.32995981250976913
"RUNX1","SPI1",0.32967093934655045
"CDK6","GFI1B",0.32954896113287013
"CD105/ENG","CD41/ITGA2B",0.32950471513437674
"CDK4","MYB",0.32912361800564016
"GATA1","GATA2",0.328367238064211
"ANK1","HPRT1",0.3279112252773437
"CD41/ITGA2B","SDPR",0.3275581138264393
"CDK4","DDB1",0.32732829627134485
"CTNNB1","GFI1B",0.3271417738153156
"ETS1","RUNX1",0.3267658742576528
"CD71/TFRC","TMOD1",0.32632213790383857
"EIF4EBP1","MYB",0.32629447755778807
"CD71/TFRC","TMEM180/MFSD13A",0.3253859134323749
"ANK1","MYB",0.32515080075894104
"CD34","CD71/TFRC",0.3250774133566899
"MCL1","SPI1",0.32489137536448703
"CTNNB1","GABPA",0.3246852323650171
"CD42/GP1BA","CLU",0.3246828322792956
"CD44","TAL1",0.32429237616474405
"GABPA","HPRT1",0.3239283679562441
"CTNNB1","P27KIP1/CDKN1B",0.3235681862533396
"CTNNB1","HIF1A",0.32326394219107396
"CNRIP1","TGFB1",0.3232523538991802
"CD117/KIT","CD34",0.32286538313546
"CD105/ENG","CTNNB1",0.3222215098959148
"LOX","RUNX1",0.3219535987585171
"ANK1","CD105/ENG",0.3216436125749921
"CNRIP1","EIF4EBP1",0.32161987160642314
"ANK1","JAK2",0.3214476569737792
"ANK1","RUNX1",0.3212086457385679
"GABPA","MYB",0.32045621215901343
"CLU","MCL1",0.32027564604210357
"CD42/GP1BA","GATA1",0.3197284239656734
"LSD1/KDM1A","MEIS1",0.31847754173912746
"LSD1/KDM1A","TMEM180/MFSD13A",0.31824493752365635
"CNRIP1","DDB1",0.31824179487528764
"JAK2","SRD5A3",0.31821825345158916
"ANK1","TMOD1",0.31739781311221915
"RUNX1","TMEM180/MFSD13A",0.3173530376062748
"LOX","MCL1",0.3168337770022278
"CD41/ITGA2B","MEIS1",0.3166336548008178
"SDPR","TGFB1",0.31639117103402686
"CD110/MPL","GFI1B",0.3158365508281142
"CD41/ITGA2B","CD9",0.31581078427999587
"KLF1","TAL1",0.31550417887940635
"CD34","MYB",0.31517998059925617
"CD36","TAL1",0.31496452153499255
"CD110/MPL","EIF4EBP1",0.314557816223573
"CD105/ENG","HPRT1",0.31409605695723675
"CD42/GP1BA","CDK6",0.31390309204040756
"CD117/KIT","CD42/GP1BA",0.3133768008553718
"CD42/GP1BA","LOX",0.31216115662431954
"CD34","CTNNB1",0.31201950133839795
"CD42/GP1BA","HIF1A",0.3111731576450486
"SRD5A3","TAL1",0.3104890274606676
"DDB1","GATA2",0.31003685462119346
"GABPA","HIF1A",0.30863617009269484
