,gene1,gene2,value,gene_pair
135,CD42/GP1BA,TAL1,0.403352476471911,CD42/GP1BA & TAL1
136,CD41/ITGA2B,KLF1,0.402649220512959,CD41/ITGA2B & KLF1
137,CD71/TFRC,GATA2,0.401242061441293,CD71/TFRC & GATA2
138,CD71/TFRC,SRD5A3,0.401156779734551,CD71/TFRC & SRD5A3
139,CD41/ITGA2B,GFI1B,0.400838862089842,CD41/ITGA2B & GFI1B
140,HPRT1,MYB,0.400131201503989,HPRT1 & MYB
141,GATA2,LSD1/KDM1A,0.399864046764358,GATA2 & LSD1/KDM1A
142,CDK4,LSD1/KDM1A,0.399806412948755,CDK4 & LSD1/KDM1A
143,CD42/GP1BA,CD71/TFRC,0.399636494826,CD42/GP1BA & CD71/TFRC
144,CD117/KIT,EIF4EBP1,0.398609115743583,CD117/KIT & EIF4EBP1
145,MEIS1,RUNX1,0.398395324053315,MEIS1 & RUNX1
146,DDB1,GFI1B,0.397953291144526,DDB1 & GFI1B
147,CD34,MCL1,0.397811192212031,CD34 & MCL1
148,CD105/ENG,RUNX1,0.396932487946323,CD105/ENG & RUNX1
149,CDK6,JAK2,0.396633335948907,CDK6 & JAK2
150,CNRIP1,MYB,0.396356360076268,CNRIP1 & MYB
151,CD71/TFRC,JAK2,0.395778631800867,CD71/TFRC & JAK2
152,LSD1/KDM1A,SRD5A3,0.395390927326399,LSD1/KDM1A & SRD5A3
153,EIF4EBP1,SRD5A3,0.395091082410179,EIF4EBP1 & SRD5A3
154,CD110/MPL,LSD1/KDM1A,0.394694157827014,CD110/MPL & LSD1/KDM1A
155,DDB1,HPRT1,0.392968056059973,DDB1 & HPRT1
156,CD41/ITGA2B,MCL1,0.392828741511643,CD41/ITGA2B & MCL1
157,CD41/ITGA2B,VWF,0.392402976002617,CD41/ITGA2B & VWF
158,GATA2,TAL1,0.391766732474442,GATA2 & TAL1
159,EIF4EBP1,JAK2,0.390211338079275,EIF4EBP1 & JAK2
160,CD34,LSD1/KDM1A,0.389729979348778,CD34 & LSD1/KDM1A
161,ANK1,TGFB1,0.389132402600031,ANK1 & TGFB1
162,CD117/KIT,TGFB1,0.388914082965713,CD117/KIT & TGFB1
163,CD110/MPL,CD42/GP1BA,0.38858620933955,CD110/MPL & CD42/GP1BA
164,GATA1,KLF1,0.38725966764849,GATA1 & KLF1
165,CDK6,GATA2,0.38686260339189,CDK6 & GATA2
166,CTNNB1,EIF4EBP1,0.386648712575497,CTNNB1 & EIF4EBP1
167,CD105/ENG,TGFB1,0.386627777638212,CD105/ENG & TGFB1
168,RUNX1,SRD5A3,0.38550128013968,RUNX1 & SRD5A3
169,CD34,CD44,0.384777576751473,CD34 & CD44
170,GABPA,RUNX1,0.384643692750502,GABPA & RUNX1
171,CD110/MPL,VWF,0.384637081372369,CD110/MPL & VWF
172,CD41/ITGA2B,CDK4,0.384531277629586,CD41/ITGA2B & CDK4
173,FOG1/ZFPM1,TAL1,0.382201222329918,FOG1/ZFPM1 & TAL1
174,CD71/TFRC,CDK4,0.381301512734416,CD71/TFRC & CDK4
175,ANK1,DDB1,0.380449612498003,ANK1 & DDB1
176,GABPA,MCL1,0.379890386548804,GABPA & MCL1
177,CD44,TGFB1,0.378345027022491,CD44 & TGFB1
178,CD34,TGFB1,0.378135603926466,CD34 & TGFB1
179,CD44,CDK6,0.374871981960068,CD44 & CDK6
180,CD105/ENG,EIF4EBP1,0.374252333961695,CD105/ENG & EIF4EBP1
181,CD44,MCL1,0.372833658966047,CD44 & MCL1
182,CD105/ENG,TAL1,0.372614128232575,CD105/ENG & TAL1
183,CD36,GATA1,0.372346069355354,CD36 & GATA1
184,EIF4EBP1,GFI1B,0.371241002745621,EIF4EBP1 & GFI1B
185,CD110/MPL,CD71/TFRC,0.370801016199114,CD110/MPL & CD71/TFRC
186,GATA1,GFI1B,0.370440256038074,GATA1 & GFI1B
187,GABPA,LSD1/KDM1A,0.369938724335521,GABPA & LSD1/KDM1A
188,HIF1A,TAL1,0.369845395816729,HIF1A & TAL1
189,JAK2,TAL1,0.369543140929668,JAK2 & TAL1
190,MCL1,MYB,0.368939021885441,MCL1 & MYB
191,GABPA,TAL1,0.36837764379114,GABPA & TAL1
192,CD117/KIT,TAL1,0.366027395011895,CD117/KIT & TAL1
193,CD42/GP1BA,LSD1/KDM1A,0.365656174945658,CD42/GP1BA & LSD1/KDM1A
194,DDB1,HIF1A,0.365459403554371,DDB1 & HIF1A
195,CD117/KIT,HPRT1,0.364408634375128,CD117/KIT & HPRT1
196,DDB1,JAK2,0.363716334605725,DDB1 & JAK2
197,MYB,TGFB1,0.363377240525779,MYB & TGFB1
198,CD36,CNRIP1,0.363364071197491,CD36 & CNRIP1
199,CDK4,RUNX1,0.362796039138677,CDK4 & RUNX1
200,MYB,RUNX1,0.362623687769836,MYB & RUNX1
201,CD41/ITGA2B,HPRT1,0.361308273626048,CD41/ITGA2B & HPRT1
202,CD105/ENG,CDK6,0.361023399076045,CD105/ENG & CDK6
203,CD42/GP1BA,EIF4EBP1,0.360840779640948,CD42/GP1BA & EIF4EBP1
204,CDK4,HPRT1,0.360615235880052,CDK4 & HPRT1
205,ANK1,EIF4EBP1,0.360051804470714,ANK1 & EIF4EBP1
206,CD41/ITGA2B,CTNNB1,0.359704540372775,CD41/ITGA2B & CTNNB1
207,CD110/MPL,MCL1,0.357291248105576,CD110/MPL & MCL1
208,CD41/ITGA2B,CD44,0.357176751748249,CD41/ITGA2B & CD44
209,CD110/MPL,CD61/ITGB3,0.356279808032075,CD110/MPL & CD61/ITGB3
210,CD42/GP1BA,DDB1,0.354327047914396,CD42/GP1BA & DDB1
211,CDK4,GATA1,0.354164850592976,CDK4 & GATA1
212,CD41/ITGA2B,GATA2,0.353759565253274,CD41/ITGA2B & GATA2
213,CD71/TFRC,GABPA,0.353388874367825,CD71/TFRC & GABPA
214,ANK1,CD117/KIT,0.35113970408452,ANK1 & CD117/KIT
215,MCL1,SRD5A3,0.350742242775132,MCL1 & SRD5A3
216,CDK6,HIF1A,0.350246953877265,CDK6 & HIF1A
217,CD44,GATA1,0.349223021956207,CD44 & GATA1
218,CD44,LSD1/KDM1A,0.34833566724606,CD44 & LSD1/KDM1A
219,CD117/KIT,JAK2,0.3482401536439,CD117/KIT & JAK2
220,CLU,TGFB1,0.348234616737972,CLU & TGFB1
221,CD105/ENG,CD117/KIT,0.347800967367786,CD105/ENG & CD117/KIT
222,MCL1,MEIS1,0.346909923167954,MCL1 & MEIS1
223,CD71/TFRC,DHRS3,0.346716923087387,CD71/TFRC & DHRS3
224,CD42/GP1BA,GATA2,0.346334879763144,CD42/GP1BA & GATA2
225,CD42/GP1BA,GFI1B,0.345762204316085,CD42/GP1BA & GFI1B
226,CDK6,CNRIP1,0.345707633817229,CDK6 & CNRIP1
227,DDB1,SRD5A3,0.345442343479231,DDB1 & SRD5A3
228,CDK6,GABPA,0.343697837770276,CDK6 & GABPA
229,LOX,TGFB1,0.343660443665402,LOX & TGFB1
230,ETS1,MCL1,0.34339391573549,ETS1 & MCL1
231,GATA1,HPRT1,0.343324946954153,GATA1 & HPRT1
232,CD117/KIT,SRD5A3,0.343172167918178,CD117/KIT & SRD5A3
233,CDK4,MCL1,0.343113682937709,CDK4 & MCL1
234,GATA2,HPRT1,0.34197780240746,GATA2 & HPRT1
235,DDB1,MYB,0.341423598127782,DDB1 & MYB
236,CD61/ITGB3,GATA1,0.341279187104438,CD61/ITGB3 & GATA1
237,CNRIP1,TMOD1,0.341215132133995,CNRIP1 & TMOD1
238,CD105/ENG,DDB1,0.341047662514059,CD105/ENG & DDB1
239,GFI1B,TAL1,0.340640056731161,GFI1B & TAL1
240,CTNNB1,JAK2,0.339364766246656,CTNNB1 & JAK2
241,CTNNB1,MYB,0.339325841698434,CTNNB1 & MYB
242,ANK1,CD44,0.338352796630457,ANK1 & CD44
243,GATA1,MCL1,0.338255368179333,GATA1 & MCL1
244,CDK4,TAL1,0.338243356136499,CDK4 & TAL1
245,CD41/ITGA2B,FOG1/ZFPM1,0.338003771789812,CD41/ITGA2B & FOG1/ZFPM1
246,CD110/MPL,CD41/ITGA2B,0.337898067286038,CD110/MPL & CD41/ITGA2B
247,SRD5A3,TGFB1,0.337769467081499,SRD5A3 & TGFB1
248,CDK4,TGFB1,0.336404055164806,CDK4 & TGFB1
249,EIF4EBP1,GATA2,0.335134874721975,EIF4EBP1 & GATA2
250,CD42/GP1BA,CTNNB1,0.334770439277501,CD42/GP1BA & CTNNB1
251,CD38,CD71/TFRC,0.334579386503249,CD38 & CD71/TFRC
252,CLU,CTNNB1,0.333813424285208,CLU & CTNNB1
253,CD71/TFRC,HIF1A,0.333062838429982,CD71/TFRC & HIF1A
254,CLU,RUNX1,0.332896461787217,CLU & RUNX1
255,CD110/MPL,MEIS1,0.332605658129343,CD110/MPL & MEIS1
256,CD44,CNRIP1,0.332480963348084,CD44 & CNRIP1
257,CD42/GP1BA,MEIS1,0.332120817149475,CD42/GP1BA & MEIS1
258,CD44,ETS1,0.331980731953486,CD44 & ETS1
259,MCL1,P27KIP1/CDKN1B,0.331851613692127,MCL1 & P27KIP1/CDKN1B
260,EIF4EBP1,HIF1A,0.331597790787195,EIF4EBP1 & HIF1A
261,MYB,TAL1,0.331180591837769,MYB & TAL1
262,GABPA,TGFB1,0.330966166306209,GABPA & TGFB1
