,Gene ID,A1P2MEP-A1_a1p2,A1P2MEP-A10_a1p2,A1P2MEP-A11_a1p2,A1P2MEP-A12_a1p2,A1P2MEP-A2_a1p2,A1P2MEP-A3_a1p2,A1P2MEP-A4_a1p2,A1P2MEP-A5_a1p2,A1P2MEP-A6_a1p2,A1P2MEP-A7_a1p2,A1P2MEP-A8_a1p2,A1P2MEP-A9_a1p2,A1P2MEP-B1_a1p2,A1P2MEP-B10_a1p2,A1P2MEP-B11_a1p2,A1P2MEP-B12_a1p2,A1P2MEP-B2_a1p2,A1P2MEP-B3_a1p2,A1P2MEP-B4_a1p2,A1P2MEP-B5_a1p2,A1P2MEP-B6_a1p2,A1P2MEP-B7_a1p2,A1P2MEP-B8_a1p2,A1P2MEP-B9_a1p2,A1P2MEP-C1_a1p2,A1P2MEP-C10_a1p2,A1P2MEP-C11_a1p2,A1P2MEP-C12_a1p2,A1P2MEP-C2_a1p2,A1P2MEP-C3_a1p2,A1P2MEP-C4_a1p2,A1P2MEP-C5_a1p2,A1P2MEP-C6_a1p2,A1P2MEP-C7_a1p2,A1P2MEP-C8_a1p2,A1P2MEP-C9_a1p2,A1P2MEP-D1_a1p2,A1P2MEP-D10_a1p2,A1P2MEP-D11_a1p2,A1P2MEP-D12_a1p2,A1P2MEP-D2_a1p2,A1P2MEP-D3_a1p2,A1P2MEP-D4_a1p2,A1P2MEP-D5_a1p2,A1P2MEP-D6_a1p2,A1P2MEP-D7_a1p2,A1P2MEP-D8_a1p2,A1P2MEP-D9_a1p2,A1P2MEP-E1_a1p2,A1P2MEP-E10_a1p2,A1P2MEP-E11_a1p2,A1P2MEP-E12_a1p2,A1P2MEP-E2_a1p2,A1P2MEP-E3_a1p2,A1P2MEP-E4_a1p2,A1P2MEP-E5_a1p2,A1P2MEP-E6_a1p2,A1P2MEP-E7_a1p2,A1P2MEP-E8_a1p2,A1P2MEP-E9_a1p2,A1P2MEP-F1_a1p2,A1P2MEP-F10_a1p2,A1P2MEP-F11_a1p2,A1P2MEP-F12_a1p2,A1P2MEP-F2_a1p2,A1P2MEP-F3_a1p2,A1P2MEP-F4_a1p2,A1P2MEP-F5_a1p2,A1P2MEP-F6_a1p2,A1P2MEP-F7_a1p2,A1P2MEP-F8_a1p2,A1P2MEP-F9_a1p2,A1P2MEP-G1_a1p2,A1P2MEP-G10_a1p2,A1P2MEP-G11_a1p2,A1P2MEP-G12_a1p2,A1P2MEP-G2_a1p2,A1P2MEP-G3_a1p2,A1P2MEP-G4_a1p2,A1P2MEP-G5_a1p2,A1P2MEP-G6_a1p2,A1P2MEP-G7_a1p2,A1P2MEP-G8_a1p2,A1P2MEP-G9_a1p2,A1P2MEP-H1_a1p2,A1P2MEP-H10_a1p2,A1P2MEP-H11_a1p2,A1P2MEP-H12_a1p2,A1P2MEP-H2_a1p2,A1P2MEP-H3_a1p2,A1P2MEP-H4_a1p2,A1P2MEP-H5_a1p2,A1P2MEP-H6_a1p2,A1P2MEP-H7_a1p2,A1P2MEP-H8_a1p2,A1P2MEP-H9_a1p2,A2P2MEP-A10_a2p2,A2P2MEP-A11_a2p2,A2P2MEP-A12_a2p2,A2P2MEP-A3_a2p2,A2P2MEP-A4_a2p2,A2P2MEP-A5_a2p2,A2P2MEP-A6_a2p2,A2P2MEP-A7_a2p2,A2P2MEP-A8_a2p2,A2P2MEP-A9_a2p2,A2P2MEP-B1_a2p2,A2P2MEP-B10_a2p2,A2P2MEP-B11_a2p2,A2P2MEP-B12_a2p2,A2P2MEP-B2_a2p2,A2P2MEP-B3_a2p2,A2P2MEP-B4_a2p2,A2P2MEP-B5_a2p2,A2P2MEP-B6_a2p2,A2P2MEP-B7_a2p2,A2P2MEP-B8_a2p2,A2P2MEP-B9_a2p2,A2P2MEP-C1_a2p2,A2P2MEP-C10_a2p2,A2P2MEP-C11_a2p2,A2P2MEP-C12_a2p2,A2P2MEP-C2_a2p2,A2P2MEP-C3_a2p2,A2P2MEP-C4_a2p2,A2P2MEP-C5_a2p2,A2P2MEP-C6_a2p2,A2P2MEP-C7_a2p2,A2P2MEP-C8_a2p2,A2P2MEP-C9_a2p2,A2P2MEP-D1_a2p2,A2P2MEP-D10_a2p2,A2P2MEP-D11_a2p2,A2P2MEP-D12_a2p2,A2P2MEP-D2_a2p2,A2P2MEP-D3_a2p2,A2P2MEP-D4_a2p2,A2P2MEP-D5_a2p2,A2P2MEP-D6_a2p2,A2P2MEP-D7_a2p2,A2P2MEP-D8_a2p2,A2P2MEP-D9_a2p2,A2P2MEP-E1_a2p2,A2P2MEP-E10_a2p2,A2P2MEP-E11_a2p2,A2P2MEP-E12_a2p2,A2P2MEP-E2_a2p2,A2P2MEP-E3_a2p2,A2P2MEP-E4_a2p2,A2P2MEP-E5_a2p2,A2P2MEP-E6_a2p2,A2P2MEP-E7_a2p2,A2P2MEP-E8_a2p2,A2P2MEP-E9_a2p2,A2P2MEP-F1_a2p2,A2P2MEP-F10_a2p2,A2P2MEP-F11_a2p2,A2P2MEP-F12_a2p2,A2P2MEP-F2_a2p2,A2P2MEP-F3_a2p2,A2P2MEP-F4_a2p2,A2P2MEP-F5_a2p2,A2P2MEP-F6_a2p2,A2P2MEP-F7_a2p2,A2P2MEP-F8_a2p2,A2P2MEP-F9_a2p2,A2P2MEP-G1_a2p2,A2P2MEP-G10_a2p2,A2P2MEP-G11_a2p2,A2P2MEP-G12_a2p2,A2P2MEP-G2_a2p2,A2P2MEP-G3_a2p2,A2P2MEP-G4_a2p2,A2P2MEP-G5_a2p2,A2P2MEP-G6_a2p2,A2P2MEP-G7_a2p2,A2P2MEP-G8_a2p2,A2P2MEP-G9_a2p2,A2P2MEP-H1_a2p2,A2P2MEP-H10_a2p2,A2P2MEP-H11_a2p2,A2P2MEP-H12_a2p2,A2P2MEP-H2_a2p2,A2P2MEP-H3_a2p2,A2P2MEP-H4_a2p2,A2P2MEP-H5_a2p2,A2P2MEP-H6_a2p2,A2P2MEP-H7_a2p2,A2P2MEP-H8_a2p2,A2P2MEP-H9_a2p2,A2P1MEP-D12_a2p3,A2P1MEP-E12_a2p3,A2P2MEP-A1_a2p3,A2P2MEP-A2_a2p3,P2-,A3P2MEP-A11_a3p2,A3P2MEP-A12_a3p2,A3P2MEP-A3_a3p2,A3P2MEP-A4_a3p2,A3P2MEP-A5_a3p2,A3P2MEP-A6_a3p2,A3P2MEP-A7_a3p2,A3P2MEP-A8_a3p2,A3P2MEP-A9_a3p2,A3P2MEP-B1_a3p2,A3P2MEP-B10_a3p2,A3P2MEP-B11_a3p2,A3P2MEP-B12_a3p2,A3P2MEP-B2_a3p2,A3P2MEP-B3_a3p2,A3P2MEP-B4_a3p2,A3P2MEP-B5_a3p2,A3P2MEP-B6_a3p2,A3P2MEP-B7_a3p2,A3P2MEP-B8_a3p2,A3P2MEP-B9_a3p2,A3P2MEP-C1_a3p2,A3P2MEP-C10_a3p2,A3P2MEP-C11_a3p2,A3P2MEP-C12_a3p2,A3P2MEP-C2_a3p2,A3P2MEP-C3_a3p2,A3P2MEP-C4_a3p2,A3P2MEP-C5_a3p2,A3P2MEP-C6_a3p2,A3P2MEP-C7_a3p2,A3P2MEP-C8_a3p2,A3P2MEP-C9_a3p2,A3P2MEP-D1_a3p2,A3P2MEP-D10_a3p2,A3P2MEP-D11_a3p2,A3P2MEP-D12_a3p2,A3P2MEP-D2_a3p2,A3P2MEP-D3_a3p2,A3P2MEP-D4_a3p2,A3P2MEP-D5_a3p2,A3P2MEP-D6_a3p2,A3P2MEP-D7_a3p2,A3P2MEP-D8_a3p2,A3P2MEP-D9_a3p2,A3P2MEP-E1_a3p2,A3P2MEP-E10_a3p2,A3P2MEP-E11_a3p2,A3P2MEP-E12_a3p2,A3P2MEP-E2_a3p2,A3P2MEP-E3_a3p2,A3P2MEP-E4_a3p2,A3P2MEP-E5_a3p2,A3P2MEP-E6_a3p2,A3P2MEP-E7_a3p2,A3P2MEP-E8_a3p2,A3P2MEP-E9_a3p2,A3P2MEP-F1_a3p2,A3P2MEP-F10_a3p2,A3P2MEP-F11_a3p2,A3P2MEP-F12_a3p2,A3P2MEP-F2_a3p2,A3P2MEP-F3_a3p2,A3P2MEP-F4_a3p2,A3P2MEP-F5_a3p2,A3P2MEP-F6_a3p2,A3P2MEP-F7_a3p2,A3P2MEP-F8_a3p2,A3P2MEP-F9_a3p2,A3P2MEP-G1_a3p2,A3P2MEP-G10_a3p2,A3P2MEP-G11_a3p2,A3P2MEP-G12_a3p2,A3P2MEP-G2_a3p2,A3P2MEP-G3_a3p2,A3P2MEP-G4_a3p2,A3P2MEP-G5_a3p2,A3P2MEP-G6_a3p2,A3P2MEP-G7_a3p2,A3P2MEP-G8_a3p2,A3P2MEP-G9_a3p2,A3P2MEP-H1_a3p2,A3P2MEP-H10_a3p2,A3P2MEP-H11_a3p2,A3P2MEP-H12_a3p2,A3P2MEP-H2_a3p2,A3P2MEP-H3_a3p2,A3P2MEP-H4_a3p2,A3P2MEP-H5_a3p2,A3P2MEP-H6_a3p2,A3P2MEP-H7_a3p2,A3P2MEP-H8_a3p2,A3P2MEP-H9_a3p2
41,CD44,15.82403065,18.78632799,14.84277049,15.14316368,18.43023437,14.5670571,14.3867392,15.9090036,13.789443400000001,15.34109635,14.48204773,14.57226321,13.49119254,15.81722423,15.495212900000002,,19.02009832,15.94623823,17.52733564,14.802837799999999,,16.67907985,14.93637569,13.96697969,17.99227234,15.76688127,17.30021674,17.33749794,14.14577427,14.82790837,14.6744891,16.79712996,15.55513647,14.04095897,13.66447677,13.59528066,17.59267205,14.30882907,17.74362207,14.79090227,17.75843712,17.11011716,15.04884088,16.47603439,16.20694681,14.20082732,13.74488069,15.90252695,13.02867675,15.72803434,14.47177781,16.26591052,17.82541975,17.108022000000002,16.78903249,14.0734233,14.04170517,17.35932197,15.02232149,16.57246058,14.14749337,16.07326482,15.43753374,14.76511678,13.77978235,14.81916675,14.22256687,15.3318581,17.52509902,14.83769169,18.13756369,15.16511417,,18.754898999999998,15.02430654,,13.99839416,16.11136515,14.09144784,14.05078204,16.23353783,15.33448677,15.32338589,14.93461599,15.93056135,14.50213573,15.84818013,16.51369737,15.91577055,14.534803400000001,14.86359867,12.973186300000002,14.63647821,13.93606916,14.8981797,13.45153127,15.49261418,16.170107,12.98561091,18.99260288,15.9099369,15.00388994,15.011077400000001,15.56537872,13.441878400000002,16.89455583,,15.43786133,,16.38277324,13.69943281,15.10102753,15.34626468,15.90794673,15.63855989,18.76316784,13.77146659,14.17644773,16.90324088,,14.918375,12.67996011,13.31683708,13.24247941,16.62939315,12.60047417,14.276562300000002,15.34428081,,,16.96266091,15.22227109,17.41240509,15.43058879,14.24912672,15.26496474,13.95150267,13.222798499999998,11.83719353,16.65725548,15.20085255,18.44711482,13.23669837,16.06615556,14.76875003,14.19661583,16.48018211,15.82516041,13.89582406,15.199650199999997,,,16.53964049,13.85822044,14.487430300000002,15.37441045,14.04106275,14.959536499999999,13.74409585,13.27734385,14.10190479,15.11065702,14.79866965,12.33963724,13.59595833,14.48491346,14.02282912,15.60126845,14.29292666,16.12668543,12.81876536,12.18519061,14.27234672,15.38527051,15.579432699999998,,,13.60948046,11.52701985,13.27531933,15.04600862,13.82982036,12.62559202,12.10138774,13.55622312,13.24183332,15.76152738,16.3037526,11.86735659,,11.89553043,,16.16159524,16.79464194,12.04157161,12.42429781,13.19340738,12.76449433,11.41916065,13.64611254,15.23072699,13.47599432,15.03368793,14.73803442,12.886855,12.09208569,10.78486644,12.63812226,15.59855611,11.93367475,10.96239385,13.41017488,11.96138077,13.50019526,14.80109561,11.77061327,12.90968143,11.31213117,13.15211075,15.42351365,12.46690288,11.28531475,13.89042645,12.68154016,14.88339614,16.06903404,13.90136277,12.29917504,12.56291209,12.98598451,10.81837824,13.6832256,12.463519,12.57253979,12.63126002,11.07985182,12.22874781,12.93714426,,13.55710203,13.74866895,15.20833536,15.00392869,11.79459905,,14.05049189,12.82700855,16.62211335,13.29377756,12.47658663,11.427677000000001,14.19861177,,11.69798875,12.98057846,13.52713969,12.11539338,11.79689603,12.58718547,15.08887657,13.99747888,12.84695498,15.90142848,17.10438205,10.83012204,11.28550247,13.56991586,13.13600641,13.92860742,14.54939421,13.82534813,11.72480742,13.51333514,14.46019523,13.29038297,11.32257473,12.32495147,12.34839687,12.13757283,13.98815875,15.00336601,13.16639254,10.41563883,15.105539199999999,12.68311483,13.52531773,12.40765963,
43,CD47,,,,,17.72236435,,,18.60210194,18.39147532,,,25.90500259,18.08789541,,,18.6083122,,18.12700023,,,,,,,18.95536782,,,,17.235707100000003,18.75224223,,18.01969101,,,18.3455422,17.89497564,17.77600808,18.19573215,,,,,,18.05942326,19.19077345,,18.46148838,,17.98304379,,18.71030085,,,,18.71151206,,17.92513933,,,17.93029261,,,18.09316554,,,,,18.13703587,,,,,,,,,,17.86378344,,,,,,,,,,,,19.159146300000003,,,,18.08717288,,,24.26153822,17.79738248,,19.055586399999996,,,17.37556254,16.65009265,,,11.69698412,,,,15.40541167,17.84737606,,,17.47356803,,,16.61967611,,,,16.38579424,22.60864317,15.74080547,,,,,,,,16.87868756,,,,17.88780168,,,,,,18.05207403,,16.73237379,,,,17.05311855,16.21862929,,,,,,16.65352589,,,,,,,,17.5574151,16.70213572,,,16.32802753,17.08601869,,16.71826671,16.32953202,,,16.07968629,,,,16.98408664,,,,,,,15.77519526,,17.34255336,,15.3754649,,,,,,,,15.6010371,,,16.55937024,,,16.89173832,,,,16.988776,,,16.44083932,,16.57739544,,,,,,16.91375784,,,,,16.708447,15.56390644,,,,,,,,,,14.95259297,16.82780073,,,15.49807577,,,,,15.67760895,,17.38208648,,15.41891873,,,,,18.75919026,,,,,,,,,16.57301094,15.10241495,,17.79972278,,,,17.23191766,15.52048324,,,,,16.75955766,,,,,,,16.5304503,15.14875321,16.10977462,,,,,
45,CD61/ITGB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.36071165,,,,,,,,,,18.90124266,,,,,,,,,12.79996899,14.78643781,,,,,,,,,16.36548941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00037054,,,,,,,,,,,,11.72627605,18.41295814,,,,14.45375866,,,,,,,12.78919052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.30923225,,,,13.27826576,,,14.22865678,,,,,,,,,,,,,11.11416392,,,,,,,,,,,,,,13.65624997,,,,,15.74418855,,,,,,11.72414638,,,,,,,,,,13.15408586,17.10779984,,,,,,,,,,,,,,,,,,,,,16.1712126,14.43477934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55983998,,,13.10281554,,,,
47,CD71/TFRC,,15.17483944,17.17156507,16.77351877,13.19689056,,17.93105511,19.21825788,18.07576841,,17.90176648,16.70722356,16.27552336,18.88626935,18.700159600000003,16.67234084,17.74000458,17.6032875,17.50589509,17.30584664,,16.2491995,18.68974572,18.52911462,15.30009365,16.7842064,14.73326753,15.05358342,18.79243247,,17.12798746,13.55446441,18.93020493,,18.89471226,16.70837864,17.14012414,,,18.81467502,,14.61241905,18.97224041,,18.85712756,,15.53599878,18.8669336,17.59891764,,19.35135182,16.39148561,15.41813674,14.98701498,16.33048521,17.32401938,17.53990499,,16.51548975,,18.94019362,13.74936731,17.06412826,15.99297646,17.07058595,,17.61135391,16.56328059,18.57198906,18.52512003,13.62829521,17.10223604,18.95763546,15.88967624,16.58075642,14.91561101,18.09344477,12.77511397,16.61567357,16.63023465,15.80489965,17.12795051,15.82038099,15.29623284,13.73293162,17.03162385,,14.61587898,17.9614491,17.00158752,,17.15237152,,18.64834524,,17.66370406,16.32517976,13.65345736,15.76071367,15.239124400000001,12.94360274,13.15770864,12.76597275,13.79419937,13.02335816,14.52526958,17.4350263,15.78957689,14.16051307,14.90680618,11.23367965,11.74822016,15.13845526,15.71259233,14.23883379,16.67907161,15.63621342,13.08176505,13.32370636,,12.63868825,11.96879984,,16.76784165,13.73676252,16.95760029,17.58155741,16.09852572,15.19704258,18.03108292,13.348703899999999,,17.26025331,,12.5408148,13.75820457,12.021272999999999,15.3838744,13.69052376,13.66840285,14.50940549,15.00797784,12.960090899999999,13.87526051,13.69813347,12.53839114,13.29784446,12.46595068,16.51251467,13.40388573,11.9110228,14.38258878,13.70146693,14.46006202,11.8416084,17.40628958,16.61000576,11.81615465,14.99495968,,16.51518476,11.82452323,17.67207359,15.73640191,16.08810577,14.32438935,12.01893141,13.40053049,,12.82886663,16.38420044,15.08549051,13.82269791,13.75089516,13.41610061,16.72096748,13.68170051,14.47387016,16.05719964,,11.55502603,12.84993392,,10.01933053,12.24960263,,13.868086300000002,12.69323025,15.59583931,13.68338129,14.62487742,13.63435084,11.95293219,13.52711107,14.81499347,,10.596881800000002,12.12951216,13.96442217,11.67032396,12.9144214,12.47972458,12.89440259,11.9899663,16.4228322,17.25808724,,14.83591951,13.70454348,17.18733813,17.12998601,11.41872916,17.08418659,13.93800355,12.77376352,8.821168612000001,17.03107312,17.3632588,10.33279091,11.71638686,16.15365928,14.80499875,11.77209512,12.27407922,15.58910503,13.58839306,11.93771871,14.96377258,16.00871239,11.21602137,16.72863566,12.95043244,11.30106458,9.704442206,17.49832373,15.10973506,15.28826467,12.82027643,15.99528219,11.95948667,11.79679549,11.97843117,12.97479599,14.91486381,10.4912347,,13.20163967,11.06037114,15.49462031,,12.62488687,11.49380049,,15.77252018,13.04260289,13.34295542,10.36841998,13.96924442,,13.56461075,12.38382556,11.69013443,,,,14.83686025,,12.26159572,10.812854,12.84405866,12.79786046,16.94153931,13.84719564,15.89823575,14.76038783,14.97343552,15.97555237,11.33614951,14.62971241,12.98043082,13.56113781,10.43551624,,14.58945845,12.95154366,10.85518449,16.73715025,14.05342886
49,CD9,18.04486289,,,,,16.24299502,17.04554456,18.89454176,16.97642527,18.63067622,18.59927065,18.500698999999997,18.34809437,18.44131864,,18.43736306,,,,19.04125421,,,,18.48462873,,,,,17.50875123,,18.482406100000002,,,17.54537988,17.63744358,22.02025497,,18.67108891,,18.76300184,,,,,18.0202533,,17.44018223,17.87010179,16.17675979,,,,,,,,18.36689064,19.3355234,,,16.39619053,,,,15.52102318,,18.3846134,,,18.49399759,,18.41112913,14.37921604,18.52463913,,,,,16.49507868,20.45788634,,,17.67991114,,,17.45485346,,,,17.74028987,,16.54778221,,,,,,,17.69226428,,,,,,,,,,,,,,,,,,16.53433958,,,,,17.56219865,,18.20217804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.663865700000002,,,18.03621406,,,,17.31254564,,,17.60452453,15.69760712,,,,,,,,17.59155787,17.76232577,,,,,18.49177739,,,,,16.03353825,,20.02644131,,,17.53476467,17.69788879,,,,,14.92286528,16.17741304,,,16.71661942,,,,,,,16.70803135,15.57096615,15.65903335,,16.69208893,15.35630334,,15.09797304,,15.86724264,,16.87480495,14.45400196,,,,16.73815164,,,15.1637019,,,16.932393899999997,14.25940449,,14.86212222,,,,15.29276249,,14.87893952,,,,,,,,,,,,15.57726955,17.58257272,15.75270932,,,,,,,16.59881585,16.59479839,,,,15.81252704,,,,16.03953881,,,16.31193952,,16.55429523,,,,17.44810603,15.62847191,,14.52103702,,,,,15.885826699999999,20.41252162,,15.05861385,
51,CD90/THY1,,,,17.74644144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97817507,,,,,,,,,,,,,,,,,17.4900318,,17.7509,,,,,,,,17.23805758,,23.10100608,25.36282353,26.48140988,,,,,,,,,,,26.47430838,,,,27.28567205,,,,,,,17.57585182,,,,,,,,,,,25.2417785,,18.63114786,,,,,25.49555026,,,,,,,21.42764123,,,,,,,,,26.23083012,,,24.31040992,,,,,,19.90879448,,,16.65311178,,,21.3738323,,,,,,,,,24.83716791,,,,,,,,,,20.85567414,,,,23.38642413,,,,,,25.45538004,,,,,15.80177291,,,,25.78016159,,,,19.90733115,,,,16.26098431,,,,,,,17.69943629,,,,,,,,,,16.27298204,,,,,,,,26.42520204,,,,,26.27000129,,,,,,15.64997994,,,,,,,,,17.98109669,,,,,,,,,,,,,,,,,20.52394948,,21.84855691,15.85548012,,26.7195283,,,,,21.76012006,,,,,,,,,,,,,,,19.63074808,,16.02873109,,23.56079735,,,,25.08275396,,,,,,16.87578475,,23.08641122,,,,
53,CDK4,18.38782824,19.16956936,,,17.70479885,,25.82535407,,,18.9376285,,22.56632147,,,18.81261394,,18.63839196,,,19.21007384,,18.60347312,,,17.62449205,,19.63240657,18.60306484,,,19.61237075,18.31491473,,,18.59367321,,,,16.63374133,19.00528524,,18.13478793,,,,,20.89466419,18.90680858,,18.4515453,,,19.29056222,19.92869305,20.41406244,27.59392675,,,,,26.97610788,18.14349146,,18.46559635,17.88530745,,18.70557132,,17.76408294,,17.60701415,18.78679305,20.85209458,17.81874388,19.24814203,,,16.35781584,,,,,18.17489842,18.07260513,16.99114139,17.91017689,18.659433899999996,18.76295977,,18.97538069,18.97385376,,,,,17.86231188,,16.17954909,16.96471289,,,,17.18017081,18.23715226,15.74150477,,,19.21781113,,,,16.20669761,,,19.90807911,17.26689341,16.93228717,17.56826142,17.03296948,,18.25097094,15.63470185,,,16.53289161,24.48134939,,20.82416957,17.50500326,,18.04009172,,17.65180639,15.46976131,18.68446497,17.64489831,17.95967299,,,,16.21313726,17.09292415,24.39801969,16.38639439,,15.71951416,,16.79782935,,16.137435999999997,,18.76838545,,17.98779893,15.2892954,,,,16.75133862,,,16.67424568,,,,,14.60452393,,,17.09052538,17.15797817,,17.18658769,16.91412132,,,,,15.62668226,,17.61774387,,,,,,16.82257057,,,16.78065559,,16.39932607,,25.87488025,19.86806737,,18.588548199999998,27.15043416,,21.90025701,17.58650315,,17.26694394,16.34915529,,,,16.2778019,,,,,17.38013459,17.24956016,15.68065621,14.52366745,,,24.19702752,,,,17.29561231,17.43357103,17.38041552,,,16.94468396,,16.72287959,,,,15.53503619,,16.49126468,18.67964602,16.04742135,,15.69898364,17.58264491,21.43574331,16.28711136,16.30624411,24.84667467,,,17.07152178,,,,16.126137699999997,,,,17.49110381,17.29462404,,,17.40644776,23.32641155,,,18.66599917,,16.13937139,,,15.65941921,,15.808710500000002,,17.13103735,,16.06271042,26.6235858,16.06820422,16.08306039,,,,16.64860283,,15.80109179,26.63296717,16.880964000000002,,16.60460522
55,CDK6,17.88014555,16.55667041,15.97285601,16.552967000000002,16.07439592,18.66416617,16.00219594,17.91467042,15.68494046,16.44555238,16.10576905,15.74340184,14.56602842,15.64326489,15.48902295,17.53075143,18.69660058,15.69580074,15.05378283,16.53489434,16.22392568,15.22471866,16.05069751,15.65469772,15.21391337,,15.80786962,14.63405085,16.58652139,16.31650722,18.14502929,15.98988472,17.20083646,15.86760089,15.08698127,15.5334107,16.45079149,15.43157552,15.63652805,17.04987182,17.67169834,16.91774109,15.63400052,18.04734477,16.38360222,17.97243576,14.98759072,16.24001175,,15.58979087,17.44489184,16.89817126,17.03481928,15.27224155,,16.3044988,14.528315,18.75282955,16.19983734,18.55968677,,16.3207003,16.87556283,14.904188099999999,15.979419400000001,16.19040642,17.39222987,15.85295555,15.00724326,18.56679436,15.22581476,15.55482454,,14.69398286,16.28931456,,,15.63844269,16.69264104,18.3220378,16.3471051,,16.30396296,15.57804847,15.85809191,15.29853462,17.56572538,16.40350744,24.62991353,15.62223522,18.50481679,18.77876971,20.18451738,15.91451485,18.0217714,16.89448731,17.39303442,14.28848719,13.39927291,17.44488371,14.43028285,13.74301311,14.51722547,15.11856724,14.23952797,14.76332123,,15.31720751,15.94123164,13.27093722,13.16703551,15.03283458,15.59510302,15.959694,15.3813982,16.88527751,13.74938567,14.54160345,13.41930183,,13.69758993,12.58837802,13.90400354,12.89745859,13.80257869,15.79515551,14.54258567,14.91730603,15.90802604,15.54089328,14.28039182,14.17724338,15.41228901,14.24852912,12.99843719,14.19582526,14.68555743,13.96211406,12.94560638,15.04074835,14.40661372,15.0072169,13.03403371,13.12036154,15.533114000000001,13.50548846,12.77614958,13.5063098,14.35199351,13.42744503,,14.99312506,15.867765499999999,14.12886729,13.81357205,16.54927025,15.89383013,14.12022586,12.67800419,14.29771029,14.06881026,14.01407368,14.91885766,13.37818084,14.10156963,14.43557246,12.76223631,13.82174434,13.96313311,12.84664384,13.6123736,13.46398412,14.00977813,12.93652071,15.20325076,17.18386007,14.98197788,13.6297032,12.60440955,15.19022936,15.36052065,14.48598478,12.44109365,12.08465431,14.47560836,15.28723339,14.25778092,16.90448036,15.38306844,12.80993692,12.39223088,15.85139524,15.47450228,15.49038568,12.54470352,15.2012732,14.07426584,13.57196147,13.13747504,13.73310507,15.23800802,12.45782812,13.90879566,13.93411012,13.79294829,14.253229000000001,13.64103695,13.18325881,14.71591515,13.74645987,14.06461221,15.343945000000001,14.75457955,13.98911031,12.75355054,11.90443509,13.30278014,14.92574153,13.51923714,14.13385944,14.35202841,12.31352358,13.30758862,14.03319372,15.07555778,14.73464494,13.41555746,12.98616253,16.83862146,,11.897169,14.36630923,12.99315128,13.09843169,14.09621731,12.93316839,15.23590844,14.285164000000002,,13.50467002,12.97551269,13.21158066,13.82457136,12.62279924,,13.0174763,13.68661235,13.25738092,13.66009233,14.81016753,13.80321488,12.96786359,14.2860546,12.48282345,14.22392989,15.39761194,12.25470892,12.12051029,13.79241647,15.00874802,13.18975036,13.5971203,13.23537091,19.29686417,14.64683707,12.61310574,13.95742577,13.74623477,12.86239796,12.94717664,13.87849428,14.26971384,13.42948109,14.68392775,12.47038786,14.12403067,13.80055767,13.76074807,13.77661531,13.39182056,13.49933042,13.20848901,,14.73610546,13.15436686,13.18748238,15.15580517,15.14244427
57,CEBPA,,,,,,,,,,,,,18.30415526,,,,,,,,,,,,,,,,,,,,,,,,,17.69085905,,,,,,,,,,,,,,,,,,,,,,,,,,18.39864953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.79142979,,,18.593003699999997,,,,,,,,,,,,,,,,21.95076097,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24241737,,,,,,,25.95131736,,,22.23294055,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.87932387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,CISH,,,,,,23.01826213,,,,,,,,,,,,,,,,,,,,22.79187357,,,,,,,,,,,,,,,,,,,,,,,,,,22.58839088,,22.15289623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.973303899999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.78743472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.99384916,,,,,,,,,14.95385209,20.37104737,,,,,,,,,,,,,,,20.33008196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.36324036,19.99432175,,
